sentiment,text
1,beginner tablet for our  year old son.
1,fantastic tablet for kids.
1,just what we expected.
1,great ereader tablet.
1,great for gifts.
1,great for reading.
1,great and lightweight reader.
1,nice tablet for the price.
1,favorite of any tablet.
1,nice tablet for the price.
1,great quality tablet.
1,kindle fire .
1,best tablet choice.
1,great tablet for kids.
1,first tablet. lots of possibilities.
1,great price for basic tablet.
1,great quality tablet.
1,excellent for simple games and social media.
1,i like it.
1,looking for great gift that is affordable.
1,great tablet great price.
1,enjoying my new tablet.
1,love my amazon fire hd  tablet.
1,great for kids.
1,good low cost option for tablet.
1,good starter tablet.
1,priced to sell nice little unit.
1,love the camera.
1,was looking for an kindle.
1,great tablet for the money.
1,nice hd tablet.
1,ease of use.
1,decent tablet for teen basic games.
1,great tablet for the price.
1,fire tablet  great for entertainment.
1,good for kids.
1,my wife loves it.
1,a nice upgrade to my old kindle.
1,present for my daughter  she loves it.
1,great little device.
1,perfect for artist reference photos.
1,great tablet for what it is worth.
1,good pad for beginner.
1,great for my kids.
1,can be slow.
1,kindle fire tablet.
1,great tablet for beginner.
1,a gift for grandma.
1,great price for the reader.
1,awesome tablet for kids.
1,great basic tab.
1,good tablets for kids.
1,i love my kindle.best investment have made.
1,excellent for it is price point.
1,excellent hd gb tablet.
1,kindle fire hd.
1,first amazon fire.
1,easy to learn to use its many features.
1,great little tablet.
1,granddaughter loves it.
1,easy to use.
1,great tablet for kids.
1,good not great.
1,think it is good product.
1,excellent  purchased for door prize.
1,very versatile tablet.
1,i am happy with it.
1,it is great item that purchased as christmas.
1,disappointed no access to apps without credit card.
1,daughter loves it.
1,love this tablet.
1,perfect size. great resolution.
1,daughter loves this tablet.
1,great tablet for my wife.
1,great value for what you get.
1,was not for me.
1,works fine for my youngest.
1,great tablet for the price.
1,great for games.
1,i love it.
1,small and compact.
1,daughter is new kindle fire hd.
0,terrible dont buy.
1,purchased as christmas gift.
1,a must if you have amazon prime.
1,great tablet for kids.
1,great update to my existing kindle.
1,works very well especially for non tech people.
1,amazon  hd tablet.
1,great tablet for readers.
1,i bought one for me and one for each of my nieces.
1,best bang for your buck.
1,good for the price.
1,very good product so far.
1,this tablet its awesome .
1,good tablet for books.
1,great for kids.
1,great value for pricing.
1,awesome table for the .
1,good little tablet with hd quality.
1,great raffle prize.
1,good tablet for the money.
1,good portable device.
1,great funeducational appsbooksbrain teasers.
1,this product has great features and good history.
1,you get lot for the price.
1,easy to use.
1,great tablet for anybody.
1,kindle fire hd .
1,great for college students.
1,i love it.
1,fire hd amazing.
1,great tablet for the whole family.
1,great tabletreasonably priced.
0,ended up returning.
1,it is great love it.
1,my mama is bday gift.
1,best buy for your buck.
1,get online without hassle.
1,nice product for the money.
1,great for the price.
1,best bang for your money.
1,great tablet at great price.
1,so very happy with the new kindle .
1,great tablet for the price.
1,great kids tablet.
1,great for on the go.
1,inexpensive yet great quality tablet.
1,great tablet for children.
1,great buy for prime members.
1,great budget tablet.
1,handy and fun.
1,good tablet for basic needs.
1,mom loves it.
1,should have purchased sooner.
1,great tablet for my  year old to start with.
1,a great starter tablet for youngster.
1,good for the price.
1,good overall tablet.
1,it has alexa built in.
1,same format as smartphone.
1,worth having the product to kids.
1,nice beginner tablet.
1,perfect for my kids.
1,gift for my dad.
1,great starter tablet for someone like myself.
1,great for reading.
1,fantastic tablet for the price.
0,a cheap tablet.
1,price is great but limited to amazon apps.
0,works well but too tied to amazon.
1,great tablet for the casual user.
1,easy to use.
1,easy to use.
1,works great for my  yr old.
1,love kindle fire.
1,great price on nice tablet.
1,must have tablet.
1,great tablet for kids and adults.
1,great every day tablet.
1,excellent buy for kids.
1,good bargain tablet.
1,excellent tablet for the money.
1,great kindle for kids.
1,computer in my palm.
1,great and versatile.
1,great for the price.
1,excellent fire tab.
1, year old granddaughter loves it.
1,good for what use it for.
1,lightweight easy to use tablet.
1,love my new kindle.
1,great first tablet.
1,excellent for the money.
1,performs as expected.
1,great and light weight.
1,great everyday tablet.
1,it is amazing.
1,fire hd .
1,budget priced and easy to use.
1,great entry tablet for the price.
1,ca not beat if for the price.
1,great tablet for my kid.
1,works quit well  would recommend.
1,basic but good.
1,machine meets all expectations.
1,great screen for echo.
1,great inexpensive tablet.
1,bought it for my son.
0,too may preloaded useless apps.
1,fine for reading.
1,great tablet for the price.
1,april love best buy.
1,i have  kindle fires.
1,good quality for school.
1,excellent choice for my mom.
1,great for the price.
1,use my kindle  more than my laptop.
0,broke in  mos.
1,great for the price.
1,good for the books.
1,son loves it.
1,easy to use.
1,happy with this purchase.
1,great tablet right size.
1,my son really enjoys it.
1,easy to use tablet.
1,great children tablets.
1,good for the price.
1,excellent tablet for email facebook and media.
1,low cost effective internet device.
1,great ereader and tablet.
1,makes great gift for first time tablet users.
1,not the best in class but priced right.
1,awesome tab for the price.
1,great for reading.
1,too good to pass up.
0,ads ads and ads.
1,quality upgrade for fire users.
1,i would buy it again.
1,best decision ever made.
0,great black friday price for this tablet.
1,great tablet for beginner.
1,fun tablet for anyone.
1,this is great for second reader.
1,hey its tablet.
1,black friday deal.
1,an average fire tablet.
1,great tablet for my  year old.
1,love love love.
1,very pleased with tablet.
1,great tablet for any age.
1,kids gift for xmas.
1,great tablet use mostly for gaming.
1,great size kindle.
1,great product love it.
1,no android support.
1,great tablet for small child.
1,great performance for the price.
1,great but alone.
1,good tablet for reading and watching videos.
1,nice tablet for  year old.
1,teenagers love it.
1,perfect for any age.
1,kindle fire is best bang for buck.
1,love it easy to use and fun.
1,great for reading.
1,great multipurpose device.
1,very nice tablet.
1,love this tablet.
1,great tablet for the price.
1,great as an ereader.
1,not bad for  bf deal.
1,great tablet for the price.
1,a good buy.
1,was for my wife who loves it.
1,it fits my need perfectly.
1,good for the price.
1,perfect for gift.
1,best kindle owned.
1,bought for grandkids they love it.
1,it is easy to use.
1,best kindle to date.
1,it is nice little tablet.
1,great for my daughter.
1,great item for grandson is.
1,decent tablet but not high caliber.
1,excellent functionality  value.
1,greatest tablet at this price point.
1,best value for tablet.
1,christmas gift for my daughter.
1,great updated kindle.
1,overall great product.
1,you get what your paying for.
1,ok for the price.
1,works well but needs better parental options.
1,wife absolutley loves her new fire hd  tablet.
1,very nice tablett.
1,great little online browser for the price.
1,great price point.
1,great tablet for price.
1,wow over the top happy.
1,a very good deal.
1,fan of amazon fire.
0,it is shopping device.
1,great little device.
1,. nice hand sized tablet.
1,nice upgrade from  amazon tablet.
1,my fourth kindlelove them.
1,got for my wife.
1,nice for the price.
1,excellent gift for kids.
1,love the larger sized screen.
1,this is the clearest screen ive ever seen.
1,awesome to use.
1,nice for the price .
1,just what wanted.
1,love my hd .
1,great amazon tablet.
1,awesome product very light.
1,great product does the job.
1,poor photo quality.
1,excellent budget tablet.
1,everything you expect from amazon.
1,good tablet for the money.
1,great for beginners.
1,works exactly as described.
1,great pad but still not the best.
1,so far so good.
1,easy to read but loses charge fast.
1,great for children and learning.
1,fire works for me.
1,very pleased with tablet.
1,lots of download space.
0,a nice kindle reader.
1,great ebook reader.
1,great but awaiting alexa feature.
1,best budget tablet.
1,its good small tablet.
1,with amazon prime it is great tablet.
1,bought for daughter.
