sentiment,text
0,some major design flaws.
1,my favorite buy.
0,not for the very petite.
1,cagrcoal shimmer fun.
1,shimmer surprisingly goes with lots.
1,such fun dress.
0,dress looks like it is made of cheap material.
1,pretty party dress with some issues.
1,nice but not for my body.
1,you need to be at least average height or taller.
1,looks great with white pants.
1,super cute and cozy.
1,stylish and comfortable.
1,cute crisp shirt.
0,not what it looks like.
1,like it but do not love it.
1,loved but returned.
1,great layering piece.
1,cuter in oerson.
1,love these pants.
1,love this dress.
1,beautifully cut lightweight coat.
1,soft  lovely.
1,some things you should know.
1,love the two tone design.
1,love the color.
1,love the embroidery.
1,cute for fall.
1,flattering and comfortable.
1,soft and cute as can be.
0,boring front great back.
1,soft and comfortable.
1,cute top love the brand.
1,love this top.
1,super cute and unique top.
0,i wanted to love this top.
0,great summer fabric.
1,cute but massive sweep.
0,short and boxy.
1,very very cute but lot of fabric.
1,runs large in top and waist.
1,so cute.but dry clean.
1,elegant classic dress.
1,casual  unique tee.
1,true to size to large.
1,pretty but not for me.
1,sweet flattering dress.
1,beautifully made but not versatile.
1,simple stylish lovelyruns bit big.
1,stunning lace top.
0,not fan.
1,excited . but .
1,beautiful shirt but runs small.
1,perfect fall shirt.
1,an almost for me.
1,beautiful stunning cozy top.
1,cute and comfy.
1,very vintage feel.
1,cozy casual  perfect for fall.
1,the perfect striped t.
1,so beautiful gorgeous orange color.
0,lovely top not lovely shape.
1,wonderfully made poorly designed for busty gals.
1,cute vest but.
1,stylish and versatile.
1,you will smile on humid summer is day.
1,a new staple for my wardrobe.
1,feminine alternative to your shapeless puffer.
1,love. love. love this skirt.
0,beautiful but scratchy.
1,on the fence.
1,so pretty bit long and bigger than what read.
1,a beautiful skirt.
1,great colors but.
1,so sad not mine.
0,scratchy uncomfortable top.
1,yes it is scratchy but it can work out.
1,classy and cute.
1,just as pictured.
1,antoher beautiful maeve dress.
1,comfy and adorable.
1,beautiful fabric and style.
1,great for summer.
1,wonderful but going back.
1,comfy casual shirt.
1,perfect casual sweater.
0,not for me.
1,perfect for warmer climates.
1,completes so many outfits.
0,not as pictured.
0,fits strange flimsy material.
1,nice color love the snap buttons.
1,it is gorgeous but.
1,runs very small.
0,nice but too thin.
1,lovely and feminine.
1,a great piece.
1,love everything about this skirt.
1,perfect comfy now top.
0,not worth cost.
1,tunic does not look like am covering up.
0,runs small too bad.
1,skirt dimensions are off.
1,comfort  style.
1,my new favorite dress.
0,not as pictured.
1,too cute to pass up.
1,pretty and comfy.
1,easy comfy  cute.
1,great crop pant.
1,why so long.
1,runs large bohemian.
1,wonderful weight for summer flattering.
0,light  large.
1,must have right on trend but still classic.
1,pretty but runs large.
1,comfortable  stylish crop pants.
0,not what expected.
1,fun change from the norm.
1,perfect for mediterenian summer.
0,loved this then washed it twice and it fell apart.
1,recommend but not for me.
1,cute but small.
1,really nice sweater coat.
1,very cute top.
1,super cute pants.
1,cute casual dress.
1,stylish and understated elegant.
0,fits like maternity top.
1,love this top.
1,love this coat.
1,adorable and flattering.
0,cute but no go.
1,pretty denim jacket.
1,amazing peach color.
1,nice quality but too short for my tall frame.
1,cute top but back is more of jersey material.
1,perfect jean jacket.
1,comfy and fun.
1,pretty and feminine.
1,peplum hem tee.
1,so comfortable and chic.
1,clever white edges.
1,love this dress.
0,not much structure boxy.
1,almost perfect denim jacket.
1,i wish it were alless stiff denim. runs small.
1,terrific denim jacket.
1,cute versatile culottes.
1,my new favorite denim jacket.
1,favorite jean jacket.
1,perfect denim jacket.
1,best dress ever.
1,stunning flattering and versatile.
0,runs large and zipper sticks.
0,did not work for me.
1,love this blouse.
1,lovely printed blouse.
1,love love love.
1,my favorite new blouse.
1,better in person.
1,cuter is person.
1,airy and flattering.
1,really good quality tee.
0,not good fit.
1,beautiful vintage feel delicate beadwork.
1,very interesting design.
1,fun and flowy.
1,nice basic piece will get lot of wear.
1,soft patterned long vest.
1,beautiful and timeless.
0,cute top but not for me.
0,so disappointed please fix it.
1,exquisite blouse runs huge.
0,sweater not coat.
0,could have been cute.
1,worth the sale price.
0,almost but not quite.
1,nice runs small and short.
1,great piece for layering.
0,cute but .
1,nice thin sweatshirt.
1,that special lauer.
1,comfy and cute.
1,looks better when tried on very cute.
1,romantic print elegant  beautiful love it.
1,love the print  style.
1,modern black and white.
1,one of my favorite pieces for night.
1,elegant and eyecatching.
1,soft and cozy.
1,looks are deceiving.
1,terrific sweater with great detail runs large.
1,great with leggings.
1,flattering and fun.
1,love love love.
1,lovely fabric but tiny hips.
1,lovely dress small top different color.
1,too bigso soft.
0,not sure about this one.
0,comfy but not made to last.
1,loving these jeans.
1,lovely but runs big.
1,possibly the cutest skirt ever.
1,sweet little top.
1,comfortable and dressy.
0,not the best quality.
1,soft feminine versatile.
1,stylish option good for petites.
1,a perfect investment.
1,this dress is gorgeous.
1,great dress rough zipper.
1,cute  comfy top.
1,flattering and great buy on sale.
1,i love this shirt.
1,pretty pattern weird fit.
1,easy and stylish.
1,small boobies only.
1,love the lace up design.
1,beautiful and versatile top.
1,so pretty and soft.
1,great for work or fun.
1,perfect shirt for work or night out.
1,so soft and comfy and fit for yoga.
1,funky and classy.
1,love. this. jacket.
0,bunches up weirdly in the front.
1,great casual shirt.
1,so much better irl.
1,vibrant red color.
0,looks fine if you do not move your arms.
1,in love with this shirt.
1,the most comfortable pants ever.
1,perfect top for work.
1,overall like it but some sizing issues.
1,very pretty boho chic.
0,great too but not for women who have large bust.
1,cute slip but very body hugging.
1,lovely romantic blouse.
1,extra fabric in back adds lot.
1,great sweater dress.
1,love love this flattering dress.
0,cute but cheap.
